Date_Reported,Cumulative_Cases
13/09/2020,3335
20/09/2020,3901
27/09/2020,4672
04/10/2020,5370
11/10/2020,6246
18/10/2020,7462
25/10/2020,9026
01/11/2020,10805
08/11/2020,12335
15/11/2020,13374
22/11/2020,14413
29/11/2020,15087
06/12/2020,15536
13/12/2020,16161
20/12/2020,16626
27/12/2020,17149
03/01/2021,17608
10/01/2021,18156
17/01/2021,18765
24/01/2021,19367
31/01/2021,19782
07/02/2021,20062
14/02/2021,20329
21/02/2021,20499
28/02/2021,20782
07/03/2021,21055
14/03/2021,21323
21/03/2021,21696
28/03/2021,22031
04/04/2021,22579
11/04/2021,23331
18/04/2021,24300
25/04/2021,25492
02/05/2021,26815
09/05/2021,28477
16/05/2021,30354
23/05/2021,32149
30/05/2021,34180
06/06/2021,35594
13/06/2021,36600
20/06/2021,37604
27/06/2021,38528
04/07/2021,39172
11/07/2021,39881
18/07/2021,40707
25/07/2021,41736
01/08/2021,42777
08/08/2021,43592
15/08/2021,44533
22/08/2021,45817
29/08/2021,47079
05/09/2021,48475
12/09/2021,50348
19/09/2021,52307
26/09/2021,54795
03/10/2021,58603
10/10/2021,61245
17/10/2021,62789
24/10/2021,63775
31/10/2021,64374
07/11/2021,64654
14/11/2021,64899
21/11/2021,65011
28/11/2021,65139
05/12/2021,65244
12/12/2021,65397
19/12/2021,65868
26/12/2021,71142
02/01/2022,82398
09/01/2022,88775
16/01/2022,93524
23/01/2022,95902
30/01/2022,98057
06/02/2022,98351
13/02/2022,98514
20/02/2022,98617
27/02/2022,98701
06/03/2022,98802
13/03/2022,98909
20/03/2022,99010
27/03/2022,99106
03/04/2022,99194
10/04/2022,99194
17/04/2022,99287
24/04/2022,99318
01/05/2022,99323
08/05/2022,99413
15/05/2022,99481
22/05/2022,99527
29/05/2022,99761
05/06/2022,99839
12/06/2022,99839
19/06/2022,100826
26/06/2022,101257
03/07/2022,101600
10/07/2022,101983
17/07/2022,102209
24/07/2022,102301
31/07/2022,102475
07/08/2022,102636
14/08/2022,102743
21/08/2022,102925
28/08/2022,103022
04/09/2022,103129
11/09/2022,103131
18/09/2022,103131
25/09/2022,103131
02/10/2022,103230
09/10/2022,103257
16/10/2022,103299
23/10/2022,103414
30/10/2022,103598
06/11/2022,103948
13/11/2022,104227
20/11/2022,104486
27/11/2022,104659
04/12/2022,104808
11/12/2022,104946
18/12/2022,105034
25/12/2022,105070
01/01/2023,105095
08/01/2023,105140
15/01/2023,105161
22/01/2023,105183
29/01/2023,105184
05/02/2023,105205
12/02/2023,105224
19/02/2023,105243
26/02/2023,105255
05/03/2023,105277
12/03/2023,105288
19/03/2023,105298
26/03/2023,105316
02/04/2023,105331
09/04/2023,105344
16/04/2023,105353
23/04/2023,105384
30/04/2023,105384
07/05/2023,105561
14/05/2023,105681
21/05/2023,105770
28/05/2023,105819
04/06/2023,105851
11/06/2023,105884
18/06/2023,105897
25/06/2023,105904
02/07/2023,105906
09/07/2023,105921
16/07/2023,105925
23/07/2023,105926
30/07/2023,105931
06/08/2023,105933
13/08/2023,105934
20/08/2023,105934
27/08/2023,105937
03/09/2023,105944
10/09/2023,105952
17/09/2023,105960
24/09/2023,105962
01/10/2023,105968
08/10/2023,105972
15/10/2023,105975
22/10/2023,105976
29/10/2023,105976
05/11/2023,105978
12/11/2023,105987
19/11/2023,106002
26/11/2023,106124
03/12/2023,106216
10/12/2023,106303
17/12/2023,106348
24/12/2023,106720
31/12/2023,106928
